0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:36:00 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:36:00 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:37:24 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:37:24 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:37:24 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:02 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:02 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:02 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:02 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:20 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:20 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:20 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:22 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:22 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:23 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:53 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:38:54 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:39:19 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:39:19 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:39:23 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:39:23 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:39:49 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:39:49 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:39:49 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:40:24 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:43:11 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:43:12 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2019:11:46:40 +0900] "GET /javascriptStudy/imagemoveEx.html HTTP/1.1" 200 616
